docID,submitted_at,edinet_code,ticker,filer,doc_type,doc_title,period_from,period_to,url
S100WNZO,2025-09-17 09:00,E12448,,??????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNZO?type=5
S100WO2S,2025-09-17 09:00,E12481,,????????????,07A000,?????????????????????9?(2024/06/21?2025/06/20),2024-06-21,2025-06-20,https://api.edinet-fsa.go.jp/api/v2/documents/S100WO2S?type=5
S100WNY9,2025-09-17 09:00,E12481,,????????????,10A000,???????????????????2?(2024/12/21?2025/12/22),2024-12-21,2025-12-22,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNY9?type=5
S100WDE3,2025-09-17 09:00,E30994,,??????????????????,07A000,?????????????????????9?(2024/06/18?2025/06/17),2024-06-18,2025-06-17,https://api.edinet-fsa.go.jp/api/v2/documents/S100WDE3?type=5
S100WGD7,2025-09-17 09:00,E12448,,??????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WGD7?type=5
S100WDE1,2025-09-17 09:01,E30994,,??????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WDE1?type=5
S100WMDO,2025-09-17 09:01,E08957,,????????????????????,07A000,?????????????????????24?(2024/06/21?2025/06/20),2024-06-21,2025-06-20,https://api.edinet-fsa.go.jp/api/v2/documents/S100WMDO?type=5
S100WOC9,2025-09-17 09:01,E35933,,??????????????????,07A000,?????????????????????10?(2024/12/25?2025/06/24),2024-12-25,2025-06-24,https://api.edinet-fsa.go.jp/api/v2/documents/S100WOC9?type=5
S100WMDM,2025-09-17 09:01,E08957,,????????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WMDM?type=5
S100WDE6,2025-09-17 09:01,E30994,,??????????????????,07A000,?????????????????????17?(2024/12/18?2025/06/17),2024-12-18,2025-06-17,https://api.edinet-fsa.go.jp/api/v2/documents/S100WDE6?type=5
S100WKH5,2025-09-17 09:02,E11518,,???????????????????,10A000,???????????????????5?(2024/12/19?2025/12/18),2024-12-19,2025-12-18,https://api.edinet-fsa.go.jp/api/v2/documents/S100WKH5?type=5
S100WNOH,2025-09-17 09:02,E10677,,?????????????????,07A000,?????????????????????19?(2024/12/18?2025/06/17),2024-12-18,2025-06-17,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNOH?type=5
S100WDE5,2025-09-17 09:02,E30994,,??????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WDE5?type=5
S100WOC8,2025-09-17 09:02,E35933,,??????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WOC8?type=5
S100WO2W,2025-09-17 09:02,E12481,,????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WO2W?type=5
S100WO0K,2025-09-17 09:02,E12481,,????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WO0K?type=5
S100WK2P,2025-09-17 09:02,E08957,,????????????????????,07A000,?????????????????????7?(2024/06/21?2025/06/20),2024-06-21,2025-06-20,https://api.edinet-fsa.go.jp/api/v2/documents/S100WK2P?type=5
S100WLTH,2025-09-17 09:03,E08957,,????????????????????,07A000,?????????????????????28?(2024/12/21?2025/06/20),2024-12-21,2025-06-20,https://api.edinet-fsa.go.jp/api/v2/documents/S100WLTH?type=5
S100WMWN,2025-09-17 09:03,E12444,,???????????????????????,07A000,?????????????????????41?(2024/12/18?2025/06/17),2024-12-18,2025-06-17,https://api.edinet-fsa.go.jp/api/v2/documents/S100WMWN?type=5
S100WJUW,2025-09-17 09:03,E12434,,???????????????????,07A000,?????????????????????25?(2024/12/19?2025/06/18),2024-12-19,2025-06-18,https://api.edinet-fsa.go.jp/api/v2/documents/S100WJUW?type=5
S100WOCE,2025-09-17 09:03,E35933,,??????????????????,07A000,?????????????????????8?(2024/12/25?2025/06/24),2024-12-25,2025-06-24,https://api.edinet-fsa.go.jp/api/v2/documents/S100WOCE?type=5
S100WNWQ,2025-09-17 09:03,E12481,,????????????,10A000,???????????????????2?(2024/12/21?2025/12/22),2024-12-21,2025-12-22,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNWQ?type=5
S100WNOF,2025-09-17 09:04,E10677,,?????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNOF?type=5
S100WLTG,2025-09-17 09:04,E08957,,????????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WLTG?type=5
S100WNOE,2025-09-17 09:04,E10677,,?????????????????,07A000,?????????????????????18?(2024/12/18?2025/06/17),2024-12-18,2025-06-17,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNOE?type=5
S100WK2O,2025-09-17 09:04,E08957,,????????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WK2O?type=5
S100WOCB,2025-09-17 09:04,E35933,,??????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WOCB?type=5
S100WMK9,2025-09-17 09:05,E11518,,???????????????????,04A001,?????????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WMK9?type=5
S100WM67,2025-09-17 09:05,E08957,,????????????????????,995000,???????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WM67?type=5
S100WNOC,2025-09-17 09:05,E10677,,?????????????????,04A000,???????????????????,,,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNOC?type=5
S100WLTN,2025-09-17 09:05,E08957,,????????????????????,07A000,?????????????????????7?(2024/06/21?2025/06/20),2024-06-21,2025-06-20,https://api.edinet-fsa.go.jp/api/v2/documents/S100WLTN?type=5
S100WDEJ,2025-09-17 09:05,E32011,,?????????????????,07A000,?????????????????????5?(2024/06/18?2025/06/17),2024-06-18,2025-06-17,https://api.edinet-fsa.go.jp/api/v2/documents/S100WDEJ?type=5
S100WNTL,2025-09-17 09:05,E10677,,?????????????????,10A000,???????????????????10?(2024/12/18?2025/12/17),2024-12-18,2025-12-17,https://api.edinet-fsa.go.jp/api/v2/documents/S100WNTL?type=5
S100WOCH,2025-09-17 09:05,E35933,,??????????????????,07A000,?????????????????????8?(2024/12/25?2025/06/24),2024-12-25,2025-06-24,https://api.edinet-fsa.go.jp/api/v2/documents/S100WOCH?type=5
S100WGDA,2025-09-17 09:05,E12448,,??????????????????,07A000,?????????????????????4?(2024/06/19?2025/06/18),2024-06-19,2025-06-18,https://api.edinet-fsa.go.jp/api/v2/documents/S100WGDA?type=5
S100WO1M,2025-09-17 09:05,E12481,,????????????,07A000,?????????????????????41?(2024/12/21?2025/06/20),2024-12-21,2025-06-20,https://api.edinet-fsa.go.jp/api/v2/documents/S100WO1M?type=5
S100WLU1,2025-09-17 09:06,E08957,,????????????????????,07A000,?????????????????????7?(2024/06/21?2025/06/20),2024-06-21,2025-06-20,https://api.edinet-fsa.go.jp/api/v2/documents/S100WLU1?type=5
