ticker,sec_code,edinet_code,submit_date,doc_type_code,doc_description,filer_name
6279.T,6279,E01677,2025-09-17 09:18,053000,?????,??????
2585.T,2585,E37165,2025-09-17 09:20,053000,?????,?????????????????
7887.T,7887,E00635,2025-09-17 09:34,053000,?????,????????????
6707.T,6707,E01790,2025-09-17 10:00,110000,??????????????,??????????
7962.T,7962,E02398,2025-09-17 10:01,030000,?????????77?(2024/06/21?2025/06/20),?????????
7962.T,7962,E02398,2025-09-17 10:03,042000,???,?????????
2121.T,2121,E05617,2025-09-17 10:03,053001,???????,????????
7962.T,7962,E02398,2025-09-17 10:06,010000,?????????77?(2024/06/21?2025/06/20),?????????
6957.T,6957,E01960,2025-09-17 11:30,040001,?????????,????????
4847.T,4847,E05191,2025-09-17 11:55,030000,?????????42?(2024/07/01?2025/06/30),?????????????????
4847.T,4847,E05191,2025-09-17 11:56,042000,???,?????????????????
4847.T,4847,E05191,2025-09-17 11:57,010000,?????????42?(2024/07/01?2025/06/30),?????????????????
2117.T,2117,E25648,2025-09-17 12:46,023000,?????????????,?????????????
9027.T,9027,E04232,2025-09-17 13:05,170001,??????????????????????????????,?????????????
4464.T,4464,E01057,2025-09-17 13:07,040001,?????????,?????????????????
9158.T,9158,E37214,2025-09-17 13:13,053001,???????,??????????
4258.T,4258,E37160,2025-09-17 13:32,170000,????????????????????????????,??????
3929.T,3929,E31955,2025-09-17 13:35,053000,?????,?????????????
7965.T,7965,E02395,2025-09-17 13:43,170000,????????????????????????????,???????????
7732.T,7732,E02299,2025-09-17 13:54,053000,?????,?????????
3633.T,3633,E22101,2025-09-17 14:10,053000,?????,??????????
6036.T,6036,E31216,2025-09-17 14:15,010002,?????,????????????
8783.T,8783,E03740,2025-09-17 14:19,042100,???,???????
3688.T,3688,E22007,2025-09-17 14:30,053000,?????,??????????????????
9449.T,9449,E05041,2025-09-17 14:43,053000,?????,??????????????????
9449.T,9449,E05041,2025-09-17 14:46,113001,???????,??????????????????
9449.T,9449,E05041,2025-09-17 14:50,113001,???????,??????????????????
3695.T,3695,E30857,2025-09-17 15:18,053000,?????,??????????????
4777.T,4777,E05114,2025-09-17 15:30,053000,?????,???????
9251.T,9251,E37038,2025-09-17 15:30,053000,?????,??????????????
3984.T,3984,E33026,2025-09-17 15:31,030000,?????????20?(2024/07/01?2025/06/30),????????????
6771.T,6771,E01819,2025-09-17 15:33,053000,?????,?????????
3984.T,3984,E33026,2025-09-17 15:34,010000,?????????20?(2024/07/01?2025/06/30),????????????
4055.T,4055,E35824,2025-09-17 15:35,023000,?????????????,???????????????
4840.T,4840,E05183,2025-09-17 15:35,053000,?????,??????????
3984.T,3984,E33026,2025-09-17 15:36,042000,???,????????????
4826.T,4826,E05163,2025-09-17 15:53,030000,?????????50?(2024/07/01?2025/06/30),???????
4826.T,4826,E05163,2025-09-17 15:55,010000,?????????50?(2024/07/01?2025/06/30),???????
4826.T,4826,E05163,2025-09-17 15:57,042000,???,???????
3341.T,3341,E05422,2025-09-17 16:00,053000,?????,????????
8887.T,8887,E03989,2025-09-17 16:00,053000,?????,???????????????
6562.T,6562,E33615,2025-09-17 16:31,053000,?????,????????
8141.T,8141,E02664,2025-09-17 16:38,170001,??????????????????????????????,????????
7369.T,7369,E36621,2025-09-17 16:53,053000,?????,????????????????
1812.T,1812,E00058,2025-09-17 17:02,053000,?????,????????
1812.T,1812,E00058,2025-09-17 17:05,113001,???????,????????
