date,pair,value
2025-04-29,USDJPY,142.26400
2025-04-30,USDJPY,142.95000
2025-05-01,USDJPY,145.28100
2025-05-02,USDJPY,144.91800
2025-05-05,USDJPY,143.70000
2025-05-06,USDJPY,142.41600
2025-05-07,USDJPY,143.76300
2025-05-08,USDJPY,145.91000
2025-05-09,USDJPY,145.32300
2025-05-12,USDJPY,148.35000
2025-05-13,USDJPY,147.45300
2025-05-14,USDJPY,146.63000
2025-05-15,USDJPY,145.59200
2025-05-16,USDJPY,145.58100
2025-05-19,USDJPY,144.85400
2025-05-20,USDJPY,144.47400
2025-05-21,USDJPY,143.64800
2025-05-22,USDJPY,144.02900
2025-05-23,USDJPY,142.55000
2025-05-26,USDJPY,142.74000
2025-05-27,USDJPY,144.26300
2025-05-28,USDJPY,144.79100
2025-05-29,USDJPY,144.12000
2025-05-30,USDJPY,144.02100
2025-06-02,USDJPY,142.67100
2025-06-03,USDJPY,143.94100
2025-06-04,USDJPY,142.73400
2025-06-05,USDJPY,143.50000
2025-06-06,USDJPY,144.85000
2025-06-09,USDJPY,144.58000
2025-06-10,USDJPY,144.83000
2025-06-11,USDJPY,144.54000
2025-06-12,USDJPY,143.47000
2025-06-13,USDJPY,144.09000
2025-06-16,USDJPY,144.72000
2025-06-17,USDJPY,145.25000
2025-06-18,USDJPY,145.10000
2025-06-19,USDJPY,145.45000
2025-06-20,USDJPY,146.07000
2025-06-23,USDJPY,146.14000
2025-06-24,USDJPY,144.91000
2025-06-25,USDJPY,145.25000
2025-06-26,USDJPY,144.37000
2025-06-27,USDJPY,144.65000
2025-06-30,USDJPY,144.01000
2025-07-01,USDJPY,143.43000
2025-07-02,USDJPY,143.67000
2025-07-03,USDJPY,144.92000
2025-07-04,USDJPY,144.55000
2025-07-07,USDJPY,146.02000
2025-07-08,USDJPY,146.55000
2025-07-09,USDJPY,146.31000
2025-07-10,USDJPY,146.25000
2025-07-11,USDJPY,147.40000
2025-07-14,USDJPY,147.70000
2025-07-15,USDJPY,148.86000
2025-07-16,USDJPY,147.86000
2025-07-17,USDJPY,148.60000
2025-07-18,USDJPY,148.81000
2025-07-21,USDJPY,147.38000
2025-07-22,USDJPY,146.63000
2025-07-23,USDJPY,146.49000
2025-07-24,USDJPY,147.00000
2025-07-25,USDJPY,147.66000
2025-07-28,USDJPY,148.53000
2025-07-29,USDJPY,148.44000
