date,localName,name,fixed,global,types
2025-01-01,??,New Year's Day,false,true,Public
2025-01-13,????,Coming of Age Day,false,true,Public
2025-02-11,??????,Foundation Day,false,true,Public
2025-02-24,?????,The Emperor's Birthday,false,true,Public
2025-03-20,????,Vernal Equinox Day,false,true,Public
2025-04-29,????,Sh?wa Day,false,true,Public
2025-05-03,?????,Constitution Memorial Day,false,true,Public
2025-05-06,?????,Greenery Day,false,true,Public
2025-05-05,?????,Children's Day,false,true,Public
2025-07-21,???,Marine Day,false,true,Public
2025-08-11,???,Mountain Day,false,true,Public
2025-09-15,????,Respect for the Aged Day,false,true,Public
2025-09-23,????,Autumnal Equinox Day,false,true,Public
2025-10-13,??????,Sports Day,false,true,Public
2025-11-03,????,Culture Day,false,true,Public
2025-11-24,??????,Labour Thanksgiving Day,false,true,Public
